# Data from Minecraft Wiki @ https://minecraft.fandom.com/wiki/Java_Edition_data_values#Items
# Select *all* table data cells to clone info.

 Acacia Boat	acacia_boat
 Amethyst Shard	amethyst_shard
 Apple	apple
 Armor Stand	armor_stand
 Arrow	arrow
 Bucket of Axolotl	axolotl_bucket
 Axolotl Spawn Egg	axolotl_spawn_egg
 Baked Potato	baked_potato
 Bat Spawn Egg	bat_spawn_egg
 Bee Spawn Egg	bee_spawn_egg
 Raw Beef	beef
 Beetroot	beetroot
 Beetroot Seeds	beetroot_seeds
 Beetroot Soup	beetroot_soup
 Birch Boat	birch_boat
 Black Dye	black_dye
 Blaze Powder	blaze_powder
 Blaze Rod	blaze_rod
 Blaze Spawn Egg	blaze_spawn_egg
 Blue Dye	blue_dye
 Bone	bone
 Bone Meal	bone_meal
 Book	book
 Bow	bow
 Bowl	bowl
 Bread	bread
 Brick	brick
 Brown Dye	brown_dye
 Bucket	bucket
 Bundle	bundle
 Carrot	carrot
 Carrot on a Stick	carrot_on_a_stick
 Cat Spawn Egg	cat_spawn_egg
 Cave Spider Spawn Egg	cave_spider_spawn_egg
 Chainmail Boots	chainmail_boots
 Chainmail Chestplate	chainmail_chestplate
 Chainmail Helmet	chainmail_helmet
 Chainmail Leggings	chainmail_leggings
 Charcoal	charcoal
 Minecart with Chest	chest_minecart
 Raw Chicken	chicken
 Chicken Spawn Egg	chicken_spawn_egg
 Chorus Fruit	chorus_fruit
 Clay Ball	clay_ball
 Clock	clock
 Coal	coal
 Cocoa Beans	cocoa_beans
 Raw Cod	cod
 Bucket of Cod	cod_bucket
 Cod Spawn Egg	cod_spawn_egg
 Minecart with Command Block	command_block_minecart
 Compass	compass
 Steak	cooked_beef
 Cooked Chicken	cooked_chicken
 Cooked Cod	cooked_cod
 Cooked Mutton	cooked_mutton
 Cooked Porkchop	cooked_porkchop
 Cooked Rabbit	cooked_rabbit
 Cooked Salmon	cooked_salmon
 Cookie	cookie
 Copper Ingot	copper_ingot
 Cow Spawn Egg	cow_spawn_egg
 Banner Pattern (Creeper Charge)	creeper_banner_pattern
 Creeper Spawn Egg	creeper_spawn_egg
 Crossbow	crossbow
 Cyan Dye	cyan_dye
 Dark Oak Boat	dark_oak_boat
 Debug Stick	debug_stick
 Diamond	diamond
 Diamond Axe	diamond_axe
 Diamond Boots	diamond_boots
 Diamond Chestplate	diamond_chestplate
 Diamond Helmet	diamond_helmet
 Diamond Hoe	diamond_hoe
 Diamond Horse Armor	diamond_horse_armor
 Diamond Leggings	diamond_leggings
 Diamond Pickaxe	diamond_pickaxe
 Diamond Shovel	diamond_shovel
 Diamond Sword	diamond_sword
 Dolphin Spawn Egg	dolphin_spawn_egg
 Donkey Spawn Egg	donkey_spawn_egg
 Dragon's Breath	dragon_breath
 Dried Kelp	dried_kelp
 Drowned Spawn Egg	drowned_spawn_egg
 Egg	egg
 Elder Guardian Spawn Egg	elder_guardian_spawn_egg
 Elytra	elytra
 Emerald	emerald
 Enchanted Book	enchanted_book
 Enchanted Golden Apple	enchanted_golden_apple
 End Crystal	end_crystal
 Eye of Ender	ender_eye
 Ender Pearl	ender_pearl
 Enderman Spawn Egg	enderman_spawn_egg
 Endermite Spawn Egg	endermite_spawn_egg
 Evoker Spawn Egg	evoker_spawn_egg
 Bottle o' Enchanting	experience_bottle
 Feather	feather
 Fermented Spider Eye	fermented_spider_eye
 Map	filled_map
 Fire Charge	fire_charge
 Firework Rocket	firework_rocket
 Firework Star	firework_star
 Fishing Rod	fishing_rod
 Flint	flint
 Flint and Steel	flint_and_steel
 Banner Pattern (Flower Charge)	flower_banner_pattern
 Fox Spawn Egg	fox_spawn_egg
 Minecart with Furnace	furnace_minecart
 Ghast Spawn Egg	ghast_spawn_egg
 Ghast Tear	ghast_tear
 Glass Bottle	glass_bottle
 Glistering Melon Slice	glistering_melon_slice
 Banner Pattern (Globe)	globe_banner_pattern
 Glow Berries	glow_berries
 Glow Ink Sac	glow_ink_sac
 Glow Item Frame	glow_item_frame
 Glow Squid Spawn Egg	glow_squid_spawn_egg
 Glowstone Dust	glowstone_dust
 Goat Spawn Egg	goat_spawn_egg
 Gold Ingot	gold_ingot
 Gold Nugget	gold_nugget
 Golden Apple	golden_apple
 Golden Axe	golden_axe
 Golden Boots	golden_boots
 Golden Carrot	golden_carrot
 Golden Chestplate	golden_chestplate
 Golden Helmet	golden_helmet
 Golden Hoe	golden_hoe
 Golden Horse Armor	golden_horse_armor
 Golden Leggings	golden_leggings
 Golden Pickaxe	golden_pickaxe
 Golden Shovel	golden_shovel
 Golden Sword	golden_sword
 Gray Dye	gray_dye
 Green Dye	green_dye
 Guardian Spawn Egg	guardian_spawn_egg
 Gunpowder	gunpowder
 Heart of the Sea	heart_of_the_sea
 Hoglin Spawn Egg	hoglin_spawn_egg
 Honey Bottle	honey_bottle
 Honeycomb	honeycomb
 Minecart with Hopper	hopper_minecart
 Horse Spawn Egg	horse_spawn_egg
 Husk Spawn Egg	husk_spawn_egg
 Ink Sac	ink_sac
 Iron Axe	iron_axe
 Iron Boots	iron_boots
 Iron Chestplate	iron_chestplate
 Iron Helmet	iron_helmet
 Iron Hoe	iron_hoe
 Iron Horse Armor	iron_horse_armor
 Iron Ingot	iron_ingot
 Iron Leggings	iron_leggings
 Iron Nugget	iron_nugget
 Iron Pickaxe	iron_pickaxe
 Iron Shovel	iron_shovel
 Iron Sword	iron_sword
 Item Frame	item_frame
 Jungle Boat	jungle_boat
 Knowledge Book	knowledge_book
 Lapis Lazuli	lapis_lazuli
 Lava Bucket	lava_bucket
 Lead	lead
 Leather	leather
 Leather Boots	leather_boots
 Leather Tunic	leather_chestplate
 Leather Cap	leather_helmet
 Leather Horse Armor	leather_horse_armor
 Leather Pants	leather_leggings
 Light Blue Dye	light_blue_dye
 Light Gray Dye	light_gray_dye
 Lime Dye	lime_dye
 Lingering Potion	lingering_potion
 Llama Spawn Egg	llama_spawn_egg
