# Data from Minecraft Wiki @ https://minecraft.fandom.com/wiki/Java_Edition_data_values#Particles
# Select *all* table data cells to clone info.

ambient_entity_effect	Particle ambient entity effect
angry_villager	Particle angry villager
ash	Particles ash
barrier	Particle barrier
block	Particle block
bubble	Particle bubble
bubble_column_up	Particle bubble column up
bubble_pop	Particle bubble pop
campfire_cosy_smoke	Particle campfire cosy smoke
campfire_signal_smoke	Particle campfire signal smoke
cloud	Particle cloud
composter	Particle composter
crimson_spore	Particle crimson spore
crit	Particle crit
current_down	Particle current down
damage_indicator	Particle damage indicator
dolphin	Particle dolphin
dragon_breath	Particle dragon breath
dripping_dripstone_lava	Particle dripping dripstone lava
dripping_dripstone_water	Particle dripping dripstone water
dripping_honey	Particle dripping honey
dripping_lava	Particle dripping lava
dripping_obsidian_tear	Particle dripping obsidian tear
dripping_water	Particle dripping water
dust	Particle dust
dust_color_transition	Particle dust color transition
effect	Particle effect
elder_guardian	Particle elder guardian
electric_spark	Particle electric spark
enchant	Particle enchant
enchanted_hit	Particle enchanted hit
end_rod	Particle end rod
entity_effect	Particle entity effect
explosion	Particle explosion
explosion_emitter	Particle explosion emitter
falling_dripstone_lava	Particle falling dripstone lava
falling_dripstone_water	Particle falling dripstone water
falling_dust	Particle falling dust
falling_honey	Particle falling honey
falling_lava	Particle falling lava
falling_nectar	Particle falling nectar
falling_obsidian_tear	Particle falling obsidian tear
falling_spore_blossom	Particle falling spore blossom
falling_water	Particle falling water
firework	Particle firework
fishing	Particle fishing
flame	Particle flame
flash	Particle flash
glow	Particle glow
glow_squid_ink	Particle glow squid ink
happy_villager	Particle happy villager
heart	Particle heart
instant_effect	Particle instant effect
item	Particle item
item_slime	Particle item slime
item_snowball	Particle item snowball
landing_honey	Particle landing honey
landing_lava	Particle landing lava
landing_obsidian_tear	Particle landing obsidian tear
large_smoke	Particle large smoke
lava	Particle lava
mycelium	Particle mycelium
nautilus	Particle nautilus
note	Particle note
poof	Particle poof
portal	Particle portal
rain	Particle rain
scrape	Particle scrape
smoke	Particle smoke
sneeze	Particle sneeze
snowflake	Particle snowflake
soul	Particle soul
sould_fire_flame	Particle soul fire flame
spit	Particle spit
spore_blossom_air	Particle spore blossom air
splash	Particle splash
squid_ink	Particle squid ink
sweep_attack	Particle sweep attack
totem_of_undying	Particle totem of undying
underwater	Particle underwater
vibration	Particle vibration
warped_spore	Particle warped spore
wax_off	Particle wax off
wax_on	Particle wax on
white_ash	Particle white ash
witch	Particle witch
